,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,Date
38,218805.22765136437,195902.93985478973,113572.27319320485,132101.57495487714,0.0,152702.63718599177,193757.78856427295,203492.87859892208,153265.29494446545,04/03/2019
39,209675.6632152852,246548.30214679503,102801.65964736324,200372.55696937247,0.0,519740.9036752129,284157.5211269035,217157.29641795467,212731.27431631135,19/04/2014
40,220326.82172404425,180041.480235865,135642.4143429428,182611.0006729184,0.0,93829.33128295878,134211.20704690882,163648.65411753737,169534.9527130373,08/02/2019
41,174070.36191457638,107134.42023308814,152952.32897018825,85477.4896766852,0.0,212495.83849375963,99655.67787621045,146572.33933999593,176403.58241882225,05/10/2018
42,296710.8441725734,148875.10344078482,173748.2680709762,543947.6615789059,0.0,98428.80830663323,207024.6435137375,191350.8094228116,149426.22155533923,04/10/2018
43,237672.9941525947,213712.298023407,144032.91462753815,109344.58095004536,25.39631667915245,298966.0065388393,149946.31407999466,188296.93214515073,174421.49213229574,17/08/2018
44,170418.53614014474,189224.43054155828,183869.75981829606,890853.0579940244,0.0,106707.86694924725,98421.5518343998,136768.10807985027,142115.2193887412,12/07/2018
45,254106.21013753721,174197.78458678746,140234.3500287815,346905.39641511854,310.34195534605846,364278.5802750165,107986.02865843238,139275.77584442246,178195.9676944271,29/06/2018
46,204806.56218270966,204529.3477177137,113788.64712604541,126828.61292936733,0.0,222614.68794584338,232632.7588813086,177088.16213706287,164591.1747128973,23/03/2018
47,224282.9663130119,176980.4968006339,109292.87763258029,121278.12658672544,344.4795704341249,321963.3916572115,174320.3034057551,160657.50678395672,182062.0249859689,17/05/2018
48,189590.621455911,236808.80939833247,74793.25611855637,113507.44570702678,0.0,110387.44856818681,123412.60418106557,153096.25352433752,158570.49369817175,03/05/2018
49,240716.18229795442,239869.79283356355,77894.61582260451,305276.7488453043,113.27481370131134,74879.48594542005,182650.65418797705,189710.65088490958,175679.10552366445,06/04/2018
50,172548.7678418965,254061.62512418046,155572.85771236845,204257.8974092218,641.3733743818542,104868.07613977748,244356.95627850984,142825.37268018056,172472.92730028555,12/05/2018
51,229760.7049746594,166684.46160940206,121217.48548690492,621654.4703758925,0.0,100268.59911610303,232941.29039176126,203678.00843389047,177138.68933614375,15/03/2018
52,198720.1858919902,225121.41810017743,97536.56061490942,131546.52632061293,0.0,151782.74178125686,169692.33074896518,141085.76423093188,172347.82011635875,19/01/2018
53,229760.7049746594,124665.50718032074,230486.3215713918,296951.01933134143,169.65360225584527,472826.2380337335,98113.02032394713,118083.76473576493,162688.40074559234,05/03/2021
54,230369.34260373135,208146.8735957141,139296.72965313905,1312690.0200348084,0.0,69820.06121937816,213812.3367436961,137779.4371783141,180721.00680531564,09/10/2015
