"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,3.347218,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,3.008493,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,4.150363,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,1.408829,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,0.529241,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,-0.394841,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,1.57241,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,2.822948,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,2.327935,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,2.287339,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,1.402152,"E","Estimated value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,3.707236,"E","Estimated value"
